# Russian	Uzbek (Latin)	English
Для закрытия нужны клиент, короб, документ и от 1 до 1000 товаров.	Yopish uchun mijoz, quti, hujjat va 1 dan 1000 tagacha tovar kerak.	Closing requires a client, box, document and 1 to 1000 items.
Не указан ШК товара.	Tovar shtrixkodi ko‘rsatilmagan.	Product barcode not specified.
Помещение: 	Xona: 	Room:\s
Новый товар: 	Yangi tovar: 	New product:\s
На этом ТСД нет Bluetooth.	Bu TSDda Bluetooth yo‘q.	This handheld has no Bluetooth.
Включите Bluetooth на ТСД и повторите поиск принтера.	TSDda Bluetoothni yoqing va printerni qayta qidiring.	Enable Bluetooth on the handheld and search for the printer again.
Не удалось запустить поиск Bluetooth-принтера.	Bluetooth printerni qidirishni boshlab bo‘lmadi.	Could not start Bluetooth printer search.
Поиск NIIMBOT B1 завершился ошибкой Bluetooth: 	NIIMBOT B1 qidiruvi Bluetooth xatosi bilan tugadi: 	NIIMBOT B1 search ended with Bluetooth error:\s
Разрешите приложению поиск Bluetooth-устройств.	Ilovaga Bluetooth qurilmalarini qidirishga ruxsat bering.	Allow the app to search for Bluetooth devices.
NIIMBOT B1 не найден. Включите принтер, закройте приложение NIIMBOT, 	NIIMBOT B1 topilmadi. Printerni yoqing, NIIMBOT ilovasini yoping, 	NIIMBOT B1 not found. Turn on the printer, close the NIIMBOT app,\s
поднесите принтер к ТСД и повторите поиск.	printerni TSDga yaqinlashtiring va qayta qidiring.	bring the printer closer to the handheld and search again.
Изображение этикетки не загружено.	Yorliq rasmi yuklanmagan.	Label image not loaded.
Подключаю NIIMBOT B1…	NIIMBOT B1ga ulanmoqda…	Connecting to NIIMBOT B1…
Bluetooth-канал занят. Переподключаю NIIMBOT B1…	Bluetooth kanali band. NIIMBOT B1ga qayta ulanmoqda…	Bluetooth channel busy. Reconnecting to NIIMBOT B1…
 Первая попытка: 	 Birinchi urinish: 	 First attempt:\s
Готовлю этикетку 50×30 мм…	50×30 mm yorliq tayyorlanmoqda…	Preparing 50×30 mm label…
Передаю этикетку на принтер…	Yorliq printerga yuborilmoqda…	Sending label to printer…
Не удалось напечатать на NIIMBOT B1: 	NIIMBOT B1da chop etib bo‘lmadi: 	Could not print on NIIMBOT B1:\s
Bluetooth выключен.	Bluetooth o‘chirilgan.	Bluetooth is off.
Сохранённый адрес принтера неверен.	Saqlangan printer manzili noto‘g‘ri.	Saved printer address is invalid.
принтер не ответил. Включите B1 и закройте приложение NIIMBOT.	printer javob bermadi. B1ni yoqing va NIIMBOT ilovasini yoping.	printer did not respond. Turn on B1 and close the NIIMBOT app.
устройство не поддерживает протокол NIIMBOT B1.	qurilma NIIMBOT B1 protokolini qo‘llamaydi.	device does not support the NIIMBOT B1 protocol.
Bluetooth-канал принтера слишком узкий. Перезапустите B1 и повторите.	Printerning Bluetooth kanali sig‘imi yetarli emas. B1ni qayta yoqing va urinib ko‘ring.	Printer Bluetooth channel is too narrow. Restart B1 and try again.
подключён не B1/B1 Pro (код модели 	ulangan qurilma B1/B1 Pro emas (model kodi 	connected device is not a B1/B1 Pro (model code\s
NIIMBOT печатает этикетку…	NIIMBOT yorliqni chop etmoqda…	NIIMBOT is printing the label…
принтер не подтвердил завершение печати за 26 секунд.	printer 26 soniya ichida chop etish tugaganini tasdiqlamadi.	printer did not confirm print completion within 26 seconds.
принтер не ответил на команду 0x	printer buyruqqa javob bermadi: 0x	printer did not respond to command 0x
соединение с принтером потеряно.	printer bilan aloqa uzildi.	connection to printer lost.
Bluetooth-канал NIIMBOT не поддерживает запись.	NIIMBOT Bluetooth kanali yozishni qo‘llamaydi.	NIIMBOT Bluetooth channel does not support writing.
Bluetooth-буфер принтера занят.	Printer Bluetooth buferi band.	Printer Bluetooth buffer is busy.
ТСД не получил подтверждение отправки Bluetooth-команды.	TSD Bluetooth buyrug‘i yuborilganini tasdiqlovchi javob olmadi.	Handheld did not receive confirmation that the Bluetooth command was sent.
Bluetooth отклонил команду печати (код 	Bluetooth chop etish buyrug‘ini rad etdi (kod 	Bluetooth rejected print command (code\s
не удалось запустить поиск служб NIIMBOT.	NIIMBOT xizmatlarini qidirishni boshlab bo‘lmadi.	could not start NIIMBOT service discovery.
ошибка подключения Bluetooth 	Bluetooth ulanish xatosi 	Bluetooth connection error\s
принтер отключился во время обмена данными.	ma’lumot almashish paytida printer uzildi.	printer disconnected during data transfer.
не удалось прочитать службы NIIMBOT.	NIIMBOT xizmatlarini o‘qib bo‘lmadi.	could not read NIIMBOT services.
служба NIIMBOT B1 не найдена.	NIIMBOT B1 xizmati topilmadi.	NIIMBOT B1 service not found.
не удалось включить ответы NIIMBOT на ТСД.	TSDda NIIMBOT javoblarini yoqib bo‘lmadi.	could not enable NIIMBOT responses on handheld.
NIIMBOT не предоставил канал ответов. Перезапустите принтер.	NIIMBOT javob kanalini bermadi. Printerni qayta yoqing.	NIIMBOT did not provide a response channel. Restart the printer.
не удалось включить ответы принтера.	Printer javoblarini yoqib bo‘lmadi.	could not enable printer responses.
принтер не разрешил канал уведомлений.	printer bildirishnoma kanaliga ruxsat bermadi.	printer did not allow the notification channel.
Нет операций для синхронизации	Sinxronlash uchun amallar yo‘q	No operations to sync
Операция отклонена сервером	Amal server tomonidan rad etildi	Operation rejected by server
Операция требует разбора	Amal tekshiruv talab qiladi	Operation needs review
Нет ответа по операции	Amal bo‘yicha javob yo‘q	No response for operation
Синхронизация завершена	Sinxronlash yakunlandi	Sync complete
Синхронизация завершена. Решения: 	Sinxronlash yakunlandi. Qarorlar: 	Sync complete. Decisions:\s
Ошибка сети	Tarmoq xatosi	Network error
Ошибка синхронизации	Sinxronlash xatosi	Sync error
Расхождение инвентаризации	Inventarizatsiya farqi	Inventory count discrepancy
SKU не найден	SKU topilmadi	SKU not found
Короб не найден	Quti topilmadi	Box not found
Ошибка приемки	Qabul qilish xatosi	Receiving error
Не тот ТСД	Boshqa TSD	Wrong handheld
Ошибка данных	Ma’lumotlar xatosi	Data error
Ручное отклонение	Qo‘lda rad etilgan	Manually rejected
Другая причина	Boshqa sabab	Other reason
Не удалось получить ответ ВМС. Повторите попытку.	WMSdan javob olib bo‘lmadi. Qayta urining.	Could not get a response from WMS. Try again.
Нет связи с ВМС. Повторите сканирование.	WMS bilan aloqa yo‘q. Qayta skanerlang.	No connection to WMS. Scan again.
Поиск КИЗ	KIZni qidirish	Find marking code
Загружаю назначенные вам заявки…	Sizga biriktirilgan topshiriqlar yuklanmoqda…	Loading requests assigned to you…
В меню	Menyuga	Menu
Нет активных заявок поиска.	Faol qidiruv topshiriqlari yo‘q.	No active search requests.
Выберите заявку. Найденный товар откладывайте отдельно.	Topshiriqni tanlang. Topilgan tovarlarni alohida qo‘ying.	Select a request. Put found items aside.
 · найдено 	 · topildi 	 · found\s
Поиск · заявка №	Qidiruv · topshiriq №	Search · request #
Сначала отсканируйте короб из списка, затем КИЗы товаров внутри.	Avval ro‘yxatdagi qutini, keyin ichidagi tovarlarning KIZlarini skanerlang.	Scan a box from the list first, then scan the marking codes of items inside.
Сканируйте короб или КИЗ	Quti yoki KIZni skanerlang	Scan box or marking code
Список заявок	Topshiriqlar ro‘yxati	Request list
Найдено 	Topildi 	Found\s
\nПоиск завершён. Отложите найденные товары отдельно.	\nQidiruv tugadi. Topilgan tovarlarni alohida qo‘ying.	\nSearch complete. Put found items aside.
✓ Найден · 	✓ Topildi · 	✓ Found ·\s
Найти · 	Topish kerak · 	Find ·\s
Паллет-сорт не указан	Saralash paleti ko‘rsatilmagan	Sorting pallet unspecified
\nШК: 	\nShtrixkod: 	\nBarcode:\s
Короб открыт. Сканируйте КИЗы внутри. Нужный товар отложите отдельно.	Quti ochildi. Ichidagi KIZlarni skanerlang. Kerakli tovarni alohida qo‘ying.	Box opened. Scan marking codes inside. Put the required item aside.
Сначала отсканируйте нужный короб из списка.	Avval ro‘yxatdagi kerakli qutini skanerlang.	Scan the required box from the list first.
Этот короб не входит в заявку поиска.	Bu quti qidiruv topshirig‘iga kirmaydi.	This box is not in the search request.
✧ Элькапоне ✧	✧ Элькапоне ✧	✧ Элькапоне ✧
Продолжить →	Davom etish →	Continue →
Инчантикс....волшебная пыль	Enchantix....sehrli chang	Enchantix....magic dust
